,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,availability_30,availability_90,number_of_reviews,latitude,longitude,property_type,room_type,neighbourhood_cleansed,minimum_nights,maximum_nights
3396,1.0,2.0,2.0,Real Bed,175.0,20.0,0,0,2,42.35468892656869,-71.12760271501001,Apartment,Entire home/apt,Allston,2,1125
3397,1.0,3.0,4.0,Real Bed,140.0,70.0,6,38,30,42.35674094180381,-71.13651560421027,Apartment,Entire home/apt,Allston,2,29
3398,1.0,1.0,1.0,Real Bed,80.0,25.0,7,22,9,42.354385265080175,-71.1311801896186,Apartment,Private room,Allston,1,1125
3399,2.0,2.0,2.0,Real Bed,259.0,95.0,1,1,3,42.36422300156797,-71.13069165481411,Condominium,Entire home/apt,Allston,3,1125
3400,1.0,1.0,1.0,Real Bed,120.0,68.0,0,0,1,42.348770519416135,-71.13343778707025,Apartment,Private room,Allston,1,1125
3401,1.0,1.0,1.0,Real Bed,108.0,50.0,0,39,0,42.35944915046908,-71.12769431806964,House,Private room,Allston,7,28
3402,1.0,1.0,1.0,Real Bed,90.0,68.0,0,0,1,42.347722118609,-71.13526354817758,Apartment,Private room,Allston,1,1125
3403,1.0,1.0,1.0,Real Bed,125.0,20.0,18,75,0,42.35070452315665,-71.1260601956128,Apartment,Entire home/apt,Allston,1,1125
3404,1.0,1.0,1.0,Real Bed,62.0,10.0,0,0,1,42.351602856705085,-71.12651350020548,Apartment,Private room,Allston,1,1125
3405,1.0,1.0,1.0,Real Bed,47.0,10.0,0,0,19,42.35046781948143,-71.13581038642003,Apartment,Shared room,Allston,3,1125
3406,1.0,1.0,1.0,Real Bed,99.0,68.0,26,86,2,42.36020735657085,-71.11814967391592,Apartment,Private room,Allston,2,45
3407,1.5,1.0,1.0,Real Bed,60.0,50.0,30,90,0,42.3550790298907,-71.13695878807253,Apartment,Private room,Allston,1,1125
3408,1.0,1.0,1.0,Real Bed,50.0,68.0,0,0,1,42.352683672246144,-71.1212479732761,Apartment,Private room,Allston,3,1125
3409,1.0,1.0,1.0,Real Bed,45.0,25.0,0,0,10,42.35758807289677,-71.12854637079751,House,Private room,Allston,1,1125
3410,1.0,1.0,2.0,Real Bed,70.0,15.0,0,6,10,42.36208644130208,-71.12470254798028,House,Private room,Allston,4,1125
3411,2.0,1.0,1.0,Real Bed,60.0,10.0,0,0,43,42.35021722460032,-71.14352208628422,House,Private room,Allston,1,1125
3412,1.0,1.0,1.0,Real Bed,59.0,12.0,0,34,1,42.35368862936061,-71.14154539533904,House,Private room,Allston,2,1125
3413,1.0,1.0,1.0,Real Bed,50.0,68.0,0,0,0,42.35325032658771,-71.12957884634393,Apartment,Private room,Allston,1,1125
3414,1.0,0.0,1.0,Real Bed,95.0,30.0,0,5,0,42.35465926298752,-71.12928642343341,Apartment,Entire home/apt,Allston,1,1125
3415,1.0,1.0,1.0,Real Bed,59.0,30.0,7,37,4,42.34827123276796,-71.1349433701076,Apartment,Private room,Allston,1,7
3416,1.0,1.0,1.0,Real Bed,80.0,20.0,2,2,11,42.35346124444336,-71.13266223160508,Apartment,Private room,Allston,1,1125
3417,2.0,3.0,3.0,Real Bed,169.0,95.0,0,0,3,42.34972172705107,-71.13111851100707,Apartment,Entire home/apt,Allston,3,1125
3418,1.0,0.0,1.0,Real Bed,120.0,25.0,24,81,36,42.34967163043419,-71.13114440922537,House,Entire home/apt,Allston,1,1125
3419,2.0,1.0,1.0,Real Bed,40.0,10.0,0,0,11,42.36083828553094,-71.13559987780964,House,Private room,Allston,5,1125
3420,1.0,1.0,2.0,Real Bed,105.0,50.0,0,14,9,42.34854040085067,-71.13754548589758,Apartment,Entire home/apt,Allston,1,1125
3421,1.0,0.0,1.0,Real Bed,79.0,20.0,3,39,0,42.35103627005154,-71.12801698606268,Apartment,Entire home/apt,Allston,1,3
3422,1.0,1.0,1.0,Real Bed,90.0,68.0,0,0,1,42.36060819075061,-71.13187970457462,Apartment,Private room,Allston,1,1125
3423,1.0,1.0,1.0,Real Bed,72.0,30.0,0,32,13,42.34869537133586,-71.13325088022417,Apartment,Private room,Allston,1,14
3424,1.0,1.0,1.0,Real Bed,32.0,68.0,0,0,0,42.354509484390704,-71.12934350563087,Apartment,Private room,Allston,1,1
3425,2.0,3.0,3.0,Real Bed,199.0,95.0,0,0,0,42.34930500953229,-71.12990336612322,Apartment,Entire home/apt,Allston,3,1125
3426,2.0,1.0,1.0,Real Bed,45.0,68.0,0,0,2,42.3597739663558,-71.13534874873876,House,Private room,Allston,4,1125
3427,1.0,1.0,2.0,Real Bed,65.0,68.0,0,0,1,42.34832593119551,-71.13613371218098,House,Entire home/apt,Allston,1,1125
3428,2.0,2.0,2.0,Real Bed,179.0,95.0,0,0,1,42.36426654089742,-71.13078915086457,Condominium,Entire home/apt,Allston,3,1125
3429,1.0,1.0,1.0,Real Bed,60.0,100.0,0,0,0,42.35358003604817,-71.12786863577439,Apartment,Private room,Allston,2,1125
3430,2.0,1.0,1.0,Real Bed,80.0,35.0,1,54,17,42.35913732960637,-71.13005211169698,Apartment,Private room,Allston,1,1125
3431,1.0,1.0,1.0,Futon,120.0,68.0,0,0,1,42.36230907844898,-71.13494210335833,House,Private room,Allston,1,1125
3432,1.0,1.0,1.0,Real Bed,75.0,25.0,0,0,2,42.35075578295176,-71.12870645433885,Apartment,Entire home/apt,Allston,1,1125
3433,1.0,1.0,1.0,Real Bed,100.0,10.0,0,0,3,42.35086692335783,-71.12917517845776,Apartment,Private room,Allston,3,7
3434,1.5,1.0,1.0,Real Bed,45.0,50.0,0,0,2,42.35518988080188,-71.13798365643365,House,Private room,Allston,1,1125
3435,1.0,1.0,1.0,Futon,125.0,68.0,0,0,1,42.36320793470625,-71.13441719334784,Apartment,Private room,Allston,3,19
3436,1.5,1.0,1.0,Real Bed,50.0,50.0,30,90,0,42.3567553096765,-71.1374574282226,House,Private room,Allston,1,1125
3437,1.0,1.0,1.0,Real Bed,98.0,80.0,0,7,2,42.3589929009505,-71.12883794427577,House,Private room,Allston,7,28
3438,1.0,1.0,2.0,Real Bed,109.0,68.0,0,0,0,42.35317017517414,-71.12556309982855,Apartment,Entire home/apt,Allston,7,1125
3439,1.0,1.0,1.0,Real Bed,85.0,25.0,0,18,2,42.34737835201244,-71.13722682457093,Apartment,Private room,Allston,1,42
3440,1.0,1.0,1.0,Real Bed,50.0,68.0,0,0,4,42.35107294545191,-71.12679921746106,Apartment,Private room,Allston,1,4
3441,1.0,2.0,2.0,Real Bed,125.0,68.0,0,0,0,42.35850565889194,-71.12944468687637,Apartment,Entire home/apt,Allston,3,1125
3442,1.0,1.0,1.0,Real Bed,110.0,68.0,29,89,1,42.34893114082529,-71.13788529734377,Apartment,Private room,Allston,1,1125
3443,1.0,1.0,1.0,Real Bed,79.0,40.0,0,0,0,42.34909986741747,-71.13098673014787,Apartment,Entire home/apt,Allston,1,1125
3444,1.0,1.0,2.0,Real Bed,100.0,68.0,0,0,68,42.34923036032304,-71.12990007244908,Apartment,Entire home/apt,Allston,1,1125
3445,1.0,1.0,1.0,Pull-out Sofa,58.0,5.0,1,46,4,42.351895648443154,-71.12958035736928,Apartment,Shared room,Allston,1,5
3446,2.0,1.0,1.0,Real Bed,80.0,35.0,0,0,13,42.35860655750685,-71.1305753163121,House,Private room,Allston,1,1125
3447,2.0,2.0,2.0,Real Bed,259.0,95.0,15,68,0,42.36440045797446,-71.13076271051933,Apartment,Entire home/apt,Allston,3,1125
